Year,City,Host_Country,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1896,Athens,GRE,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,100M Freestyle,Gold
1896,Athens,GRE,Aquatics,Swimming,"HERSCHMANN, Otto",AUT,Men,100M Freestyle,Silver
1896,Athens,GRE,Aquatics,Swimming,"DRIVAS, Dimitrios",GRE,Men,100M Freestyle For Sailors,Bronze
1896,Athens,GRE,Aquatics,Swimming,"MALOKINIS, Ioannis",GRE,Men,100M Freestyle For Sailors,Gold
1896,Athens,GRE,Aquatics,Swimming,"CHASAPIS, Spiridon",GRE,Men,100M Freestyle For Sailors,Silver
1896,Athens,GRE,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,1200M Freestyle,Bronze
1896,Athens,GRE,Aquatics,Swimming,"HAJOS, Alfred",HUN,Men,1200M Freestyle,Gold
1896,Athens,GRE,Aquatics,Swimming,"ANDREOU, Joannis",GRE,Men,1200M Freestyle,Silver
1896,Athens,GRE,Aquatics,Swimming,"CHOROPHAS, Efstathios",GRE,Men,400M Freestyle,Bronze
1896,Athens,GRE,Aquatics,Swimming,"NEUMANN, Paul",AUT,Men,400M Freestyle,Gold
1896,Athens,GRE,Aquatics,Swimming,"PEPANOS, Antonios",GRE,Men,400M Freestyle,Silver
1896,Athens,GRE,Athletics,Athletics,"LANE, Francis",USA,Men,100M,Bronze
1896,Athens,GRE,Athletics,Athletics,"SZOKOLYI, Alajos",HUN,Men,100M,Bronze
1896,Athens,GRE,Athletics,Athletics,"BURKE, Thomas",USA,Men,100M,Gold
1896,Athens,GRE,Athletics,Athletics,"HOFMANN, Fritz",GER,Men,100M,Silver
1896,Athens,GRE,Athletics,Athletics,"CURTIS, Thomas",USA,Men,110M Hurdles,Gold
1896,Athens,GRE,Athletics,Athletics,"GOULDING, Grantley",GBR,Men,110M Hurdles,Silver
1896,Athens,GRE,Athletics,Athletics,"LERMUSIAUX, Albin",FRA,Men,1500M,Bronze
1896,Athens,GRE,Athletics,Athletics,"FLACK, Edwin",AUS,Men,1500M,Gold
1896,Athens,GRE,Athletics,Athletics,"BLAKE, Arthur",USA,Men,1500M,Silver
1896,Athens,GRE,Athletics,Athletics,"GMELIN, Charles",GBR,Men,400M,Bronze
1896,Athens,GRE,Athletics,Athletics,"BURKE, Thomas",USA,Men,400M,Gold
1896,Athens,GRE,Athletics,Athletics,"JAMISON, Herbert",USA,Men,400M,Silver
1896,Athens,GRE,Athletics,Athletics,"GOLEMIS, Dimitrios",GRE,Men,800M,Bronze
1896,Athens,GRE,Athletics,Athletics,"FLACK, Edwin",AUS,Men,800M,Gold
1896,Athens,GRE,Athletics,Athletics,"DANI, Nandor",HUN,Men,800M,Silver
1896,Athens,GRE,Athletics,Athletics,"VERSIS, Sotirios",GRE,Men,Discus Throw,Bronze
1896,Athens,GRE,Athletics,Athletics,"GARRETT, Robert",USA,Men,Discus Throw,Gold
